rho_s,r_s,MBH,chi2,reward,status,proposal_id
0.1,2.0,50000.0,,,todo,
53.28334919567342,2673.0123214476307,509553.035526467,13.936356439407806,-13.936356439407806,pass,1.0
71.35643182687298,1288.7097790110922,752693.6088721111,14.579267295702458,-14.579267295702458,pass,2.0
88.387929981036,778.7209172538112,670546.4383489265,18.090718240425442,-18.090718240425442,pass,3.0
64.3445515144713,3619.5177100394517,748725.2000668047,14.304632505254538,-14.304632505254538,pass,4.0
81.85475764066545,494.05307172724827,3553.9072081155477,41.24886512873287,-41.24886512873287,pass,5.0
23.08103846717029,66.21439091516702,353541.7110591318,1329.2416620317983,-1329.2416620317983,pass,6.0
18.528229188152086,3964.8781766274165,612172.0256531164,15.016131357596283,-15.016131357596283,pass,7.0
89.94292260274088,1580.2620583198322,406655.44253589946,13.830315430292496,-13.830315430292496,pass,8.0
98.02586234190385,2712.6155735945154,242294.61194293035,14.046189954161976,-14.046189954161976,pass,9.0
25.224242987395712,2827.9531531019466,133336.87991420375,15.091051092249153,-15.091051092249153,pass,10.0
87.62586826839475,2404.2576158757165,283325.86800975987,13.975056354892217,-13.975056354892217,pass,11.0
89.22108888801847,4139.021692663931,979970.4701516395,15.515085886791118,-15.515085886791118,pass,12.0
86.72331046708204,971.5607369725615,454490.673134089,14.725689203467502,-14.725689203467502,pass,13.0
80.51829764322488,3737.420926601065,919959.7184824316,15.08286309271069,-15.08286309271069,pass,14.0
22.047070924035616,4989.775724305444,602796.5202583806,13.904232630072329,-13.904232630072329,pass,15.0
3.5519421831708327,2779.827786929805,319642.5219249326,395.1287671423658,-395.1287671423658,pass,16.0
50.210512242943295,2667.9429761525544,662513.3897918408,14.047630709292461,-14.047630709292461,pass,17.0
45.82762235782085,553.8325327770599,729937.667518445,82.16425048963423,-82.16425048963423,pass,18.0
78.42037837087051,710.7420892427813,838686.941896812,24.301649935172986,-24.301649935172986,pass,19.0
40.27269177287153,2035.0861791595953,370666.3111862778,14.40197064632148,-14.40197064632148,pass,20.0
91.70157008626191,2455.9434368815982,965988.3696125202,14.771434320837102,-14.771434320837102,pass,21.0
